Name,Detail,Price,Brand,CPU_Type,RAM_GB,SSD_GB
Asus VivoBook 14 X1404VA-EB1146W,"PC portable 14"", Intel Core 5 120U, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Windows 11, AZERTY",1749.95,asus,Intel Core i5,16,512
Asus VivoBook 14 X1404VA-EB277W,"PC portable 14"", Intel Core 5 120U, RAM 8 Go, SSD 512 Go, dalle IPS Full HD, Windows 11, AZERTY",1499.95,asus,Intel Core i5,8,512
Asus VivoBook 14 Flip OLED Copilot+ PC TP3407SA-QL060X,"PC portable 14"", Intel Core Ultra 7 258V, RAM 32 Go, SSD 1 To, dalle tactile OLED Full HD+, Windows 11 Pro, AZERTY",1149.95,asus,Intel Core Ultra 7,32,1024
Asus VivoBook 14 Flip OLED Copilot+ PC TP3407SA-QL118X,"PC portable 14"", Intel Core Ultra 7 258V, RAM 16 Go, SSD 512 Go, dalle OLED tactile Full HD+, Windows 11 Pro, AZERTY",1699.95,asus,Intel Core Ultra 7,16,512
Asus Vivobook 14 S1407KA-LY054W Copilot+ PC,"PC portable 14"", AMD Ryzen AI 7 350, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+, Windows 11, AZERTY",1699.95,asus,AMD Ryzen AI 7,16,512
Asus Vivobook 14 S1407QA Copilot+ PC,"PC portable 14"", Snapdragon X X1-26-100, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+, Windows 11, AZERTY",1599.95,asus,Other,16,512
Asus VivoBook 14 X1404VA-NK284W,"PC portable 14"", Intel Core 5 120U, RAM 16 Go, SSD 1 To, dalle IPS Full HD, Windows 11, AZERTY",2299.95,asus,Intel Core i5,16,1024
Asus Vivobook 14 X1405VA-LY351W,"PC portable 14"", Intel Core 7 150U, RAM 16 Go, SSD 1 To, dalle IPS Full HD+, Windows 11, AZERTY",2199.95,asus,Intel Core i7,16,1024
Asus Vivobook 15 OLED S1505VA-L1535W,"PC portable 15.6"", Intel Core i7-1355U, RAM 16 Go, SSD 512 Go, dalle OLED Full HD, Windows 11, AZERTY",1549.95,asus,Intel Core i7,16,512
Asus Vivobook 15 S1504VA-NJ2342,"PC portable 15.6"", Intel Core i3-1315U, RAM 16 Go, SSD 512 Go, dalle TN Full HD, Sans OS, AZERTY",649.95,asus,Intel Core i3,16,512
Asus Vivobook 15 X1504VA-BQ2875W,"PC portable 15.6"", Intel Core 5 120U, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Windows 11, AZERTY",1049.95,asus,Intel Core i5,16,512
Asus Vivobook 15 X1504VA-BQ2888W,"PC portable 15.6"", Intel Core 5 120U, RAM 8 Go, SSD 512 Go, dalle IPS Full HD, Windows 11, AZERTY",1199.95,asus,Intel Core i5,8,512
Asus Vivobook 17 P1704VA-AU908X,"PC portable 17.3"", Intel Core 7 150U, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Windows 11 Pro, AZERTY",549.95,asus,Intel Core i7,16,512
Asus Vivobook 17 P1704VA-AU909X,"PC portable 17.3"", Intel Core 7 150U, RAM 24 Go, SSD 1 To, Windows 11 Pro, AZERTY",649.95,asus,Intel Core i7,24,1024
Asus Vivobook 17 X1704VA-AU674W,"PC portable 17.3"", Intel Core i3-1315U, RAM 8 Go, SSD 512 Go, dalle IPS Full HD, Windows 11, AZERTY",599.95,asus,Intel Core i3,8,512
Asus Vivobook 17 X1704VA-AU750W,"PC portable 17.3"", Intel Core i7-1355U, RAM 24 Go, SSD 1 To, dalle IPS Full HD, Windows 11, AZERTY",649.95,asus,Intel Core i7,24,1024
Asus Vivobook 17 X1704VA-AU808W,"PC portable 17.3"", Intel Core 5-120U, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Windows 11, AZERTY",499.95,asus,Intel Core i5,16,512
Asus Vivobook 18 M1807HA-S8028X,"PC portable 18"", AMD Ryzen 7 260, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+ 144 Hz, Windows 11, AZERTY",629.95,asus,AMD Ryzen 7,16,512
Asus Vivobook 18 M1807HA-S8076X,"PC portable 18"", AMD Ryzen 7 260, RAM 32 Go, SSD 1 To, dalle IPS Full HD+ 144 Hz, Windows 11 Pro, AZERTY",749.95,asus,AMD Ryzen 7,32,1024
Asus Vivobook 18 M1807HA-S8116W,"PC portable 18"", AMD Ryzen 7 260, RAM 32 Go, SSD 1 To, dalle IPS Full HD+ 144 Hz, Windows 11, 2,60 kg, AZERTY",879.95,asus,AMD Ryzen 7,32,1024
Asus Vivobook Go 15 P1504FA-BQ2443X,"PC portable 15.6"", AMD Ryzen 5 7520U, RAM 16 Go, SSD 512 Go, dalle TN Full HD, Windows 11 Pro, AZERTY",1999.95,asus,AMD Ryzen 5,16,512
Asus Vivobook Pro 15 OLED N6506CU-MA001X,"PC portable 15.6"", Intel Core Ultra 7 255H, RTX 4050, RAM 24 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11 Pro, AZERTY",949.95,asus,Intel Core Ultra 7,24,1024
Asus Vivobook S 14 OLED M5406UA-QD093X,"PC portable 14"", AMD Ryzen 7 8845HS, RAM 16 Go, SSD 1 To, dalle OLED Full HD+, Windows 11 Pro, AZERTY",879.95,asus,AMD Ryzen 7,16,1024
Asus Vivobook S 14 OLED M5406WA-PP068X,"PC portable 14"", AMD Ryzen AI 9 365, RAM 24 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11 Pro, AZERTY",949.95,asus,AMD Ryzen AI 9,24,1024
Asus Vivobook S 14 OLED S5406KA-QD037W,"PC portable 14"", AMD Ryzen AI 7 350, RAM 16 Go, SSD 1 To, dalle OLED Full HD+, Windows 11, AZERTY",599.95,asus,AMD Ryzen AI 7,16,1024
Asus Vivobook S 14 OLED S5406KA-QD109W,"PC portable 14"", AMD Ryzen AI 5 340, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11, AZERTY",899.95,asus,AMD Ryzen AI 5,16,512
Asus Vivobook S 14 OLED S5406MA-QD020W,"PC portable 14"", Intel Core Ultra 7 155H, RAM 16 Go, SSD 1 To, dalle OLED Full HD+, Windows 11, AZERTY",749.95,asus,Intel Core Ultra 7,16,1024
Asus Vivobook S 14 OLED S5406NA-QD082W,"PC portable 14"", AMD Ryzen 5 7535HS, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11, AZERTY",799.95,asus,AMD Ryzen 5,16,512
Asus Vivobook S 14 OLED S5406SA-QD004W,"PC portable 14"", Intel Core Ultra 5 226V, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11, AZERTY",849.95,asus,Intel Core Ultra 5,16,512
Asus Vivobook S 14 OLED S5406UA-PP003W,"PC portable 14"", AMD Ryzen 7 8845H, RAM 16 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11, AZERTY",999.95,asus,AMD Ryzen 7,16,1024
Asus Vivobook S 15 Copilot+ PC S5507QA-MA007W,"PC portable 15.6"", Snapdragon X Plus X1P-42-100, RAM 16 Go, SSD 1 To, dalle OLED WQHD+ 120 Hz, Windows 11, AZERTY",649.95,asus,Other,16,1024
Asus Vivobook S 15 Copilot+ PC S5507QA-MA064X,"PC portable 15.6"", Snapdragon Elite X1E-78-100, RAM 32 Go, SSD 1 To, dalle OLED WQHD+ 120 Hz, Windows 11 Pro, AZERTY",1099.95,asus,Other,32,1024
Asus Vivobook S 15 OLED Copilot+ PC S5507QA-MA006W,"PC portable 15.6"", Snapdragon X Elite X1E-78-100, RAM 16 Go, SSD 1 To, dalle OLED WQHD+ 120 Hz, Windows 11, AZERTY",759.95,asus,Other,16,1024
Asus Vivobook S 15 OLED Copilot+ PC S5507QA-MA038X,"PC portable 15.6"", Snapdragon X Plus X1P-42-100, RAM 16 Go, SSD 512 Go, dalle OLED WQHD+ 120 Hz, Windows 11 Pro, AZERTY",1099.95,asus,Other,16,512
ASUS Vivobook S14 M3407KA-SF012W,"PC portable 14"", AMD Ryzen 5 330, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11, AZERTY",1399.95,asus,AMD Ryzen 5,16,512
Asus Vivobook S14 S3407CA-LY048W,"PC portable 14"", Intel Core Ultra 7 255H, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+, Windows 11, AZERTY",1399.95,asus,Intel Core Ultra 7,16,512
ASUS Vivobook S16 OLED M3607KA-SH026W,"PC portable 16"", AMD Ryzen AI 7 350, RAM 32 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11, AZERTY",749.95,asus,AMD Ryzen AI 7,32,512
ASUS Vivobook S16 OLED M3607KA-SH074X,"PC portable 16"", AMD Ryzen AI 5 330, RAM 32 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11 Pro, AZERTY",1899.95,asus,AMD Ryzen AI 5,32,512
ASUS Vivobook S16 OLED M5606KA-SH166X,"PC portable 16"", AMD Ryzen AI 7 350, RAM 32 Go, SSD 1 To, dalle OLED Full HD+, Windows 11 Pro, AZERTY",1079.95,asus,AMD Ryzen AI 7,32,1024
Asus Vivobook S16 OLED S5606CA-RI048X,"PC portable 16"", Intel Core Ultra 7 255H, RAM 32 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11 Pro, AZERTY",1499.95,asus,Intel Core Ultra 7,32,1024
Asus Vivobook S16 OLED S5606WA-MX116W,"PC portable 16"", AMD Ryzen AI 9 HX 370, RAM 32 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11, AZERTY",1299.95,asus,AMD Ryzen AI 9,32,1024
Asus Zenbook 14 OLED UM3406KA-QD016W,"PC portable 14"", AMD Ryzen AI 5 340, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11, AZERTY",999.95,asus,AMD Ryzen AI 5,16,512
Asus Zenbook 14 OLED UM3406KA-QD075W,"PC portable 14"", AMD Ryzen AI 7 350, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11, AZERTY",1399.95,asus,AMD Ryzen AI 7,16,512
Asus Zenbook 14 OLED UM3406KA-QD172W,"PC portable 14"", AMD Ryzen AI 7 350, RAM 32 Go, SSD 1 To, dalle OLED Full HD+, Windows 11, AZERTY",949.95,asus,AMD Ryzen AI 7,32,1024
Asus Zenbook 14 OLED UM3406KA-QD280X,"PC portable 14"", AMD Ryzen AI 7 350, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11 Pro, AZERTY",649.95,asus,AMD Ryzen AI 7,16,512
Asus Zenbook 14 OLED UM3406KA-QD281X,"PC portable 14"", AMD Ryzen AI 7 350, RAM 32 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11 Pro, AZERTY",1049.95,asus,AMD Ryzen AI 7,32,512
Asus Zenbook 14 OLED UX3405CA-PP285X,"PC portable 14"", Intel Core Ultra 9 285H, RAM 32 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11, AZERTY",1199.95,asus,Intel Core Ultra 9,32,1024
Asus Zenbook S 16 OLED UM5606WA-RK084X,"PC portable 16"", AMD Ryzen AI 9 HX 370, RAM 32 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11 Pro, AZERTY",1199.95,asus,AMD Ryzen AI 9,32,1024
Asus Vivobook 17 P1704VA-AU766X,"Bureautique, 17.3"", IPS, Full HD, 60 Hz, Core i3-1315U, RAM 8 Go, SSD 512 Go, Windows 11 Professionnel, 2,10 kg, Clavier AZERTY Français",1349.95,asus,Intel Core i3,8,512
Asus ROG Zephyrus G14 GA403WW-DR8W,"PC portable gamer 14"", AMD Ryzen AI 9 HX 370, RTX 5080, RAM 64 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11, AZERTY",1729.95,asus,AMD Ryzen AI 9,64,1024
ASUS Vivobook S16 OLED S3607CA-PRO-OLED-SH3X,"PC portable 16"", Intel Core Ultra 5 225H, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11 Pro, AZERTY",1699.95,asus,Intel Core Ultra 5,16,512
ASUS ExpertBook BM1 BM1503CDA-S70020X,"PC portable 15.6"", AMD Ryzen 5 7535U, RAM 8 Go, SSD 256 Go, dalle TN Full HD, Windows 11 Pro, AZERTY",1299.95,asus,AMD Ryzen 5,8,256
Asus ProArt P16 OLED H7606WM-SC054W,"PC portable 16"", AMD Ryzen AI 9 HX 370, RTX 5060, RAM 32 Go, SSD 1 To, dalle OLED tactile Ultra HD+, Windows 11, AZERTY",1299.95,asus,AMD Ryzen AI 9,32,1024
